day,open,maxchg,straddle,straddlechg,,2straddle,
4/6/2020,257.839996,9.06,9.43,3.66,x,14.76,5.72
4/13/2020,277.140015,3.67,11.00,3.97,,16.22,5.85
4/20/2020,282.609985,3.75,10.33,3.66,x,15.63,5.53
4/27/2020,285.119995,3.42,7.83,2.75,x,12.13,4.25
5/4/2020,280.73999,4.35,9.35,3.33,x,14.24,5.07
5/11/2020,290.339996,5.98,6.93,2.39,x,10.66,3.67
5/18/2020,293.049988,1.64,7.03,2.40,,9.97,3.40
5/25/2020,301.929993,2.14,5.35,1.77,x,9.22,3.05
6/1/2020,303.619995,5.81,7.62,2.51,x,11.19,3.69
6/8/2020,320.220001,6.75,6.47,2.02,x,9.90,3.09
6/15/2020,298.019989,5.91,12.20,4.09,x,16.67,5.59
6/22/2020,307.98999,2.78,9.05,2.94,,13.02,4.23
6/29/2020,301.410004,4.74,8.51,2.82,x,13.41,4.45
7/6/2020,316.369995,1.80,6.11,1.93,,9.66,3.05
7/13/2020,320.130005,2.54,6.25,1.95,x,10.50,3.28
7/20/2020,321.429993,1.71,,0.00,,,0.00
